"Ranking","Name","Year","Minutes","Genre","Rating","Votes","Gross"
"1.","Citizen Kane","(1941)","119 min","Drama, Mystery","8.3","442,770","$1.59M"
"2.","The Godfather","(1972)","175 min","Crime, Drama","9.2","1,849,989","$134.97M"
"3.","The Wizard of Oz","(1939)","102 min","Adventure, Family, Fantasy","8.1","400,883","$2.08M"
"4.","The Shawshank Redemption","(1994)","142 min","Drama","9.3","2,669,409","$28.34M"
"5.","Pulp Fiction","(1994)","154 min","Crime, Drama","8.9","2,044,257","$107.93M"
"6.","Casablanca","(1942)","102 min","Drama, Romance, War","8.5","571,769","$1.02M"
"7.","The Third Man","(1949)","104 min","Film-Noir, Mystery, Thriller","8.1","172,546","$0.45M"
"8.","Star Wars: Episode V - The Empire Strikes Back","(1980)","124 min","Action, Adventure, Fantasy","8.7","1,288,916","$290.48M"
"9.","Schindler's List","(1993)","195 min","Biography, Drama, History","9","1,351,515","$96.90M"
"10.","Apocalypse Now","(1979)","147 min","Drama, Mystery, War","8.5","667,041","$83.47M"
"11.","Goodfellas","(1990)","145 min","Biography, Crime, Drama","8.7","1,157,302","$46.84M"
"12.","Singin' in the Rain","(1952)","103 min","Comedy, Musical, Romance","8.3","243,255","$8.82M"
"13.","Psycho","(1960)","109 min","Horror, Mystery, Thriller","8.5","671,547","$32.00M"
"14.","2001: A Space Odyssey","(1968)","149 min","Adventure, Sci-Fi","8.3","668,690","$56.95M"
"15.","Fight Club","(1999)","139 min","Drama","8.8","2,114,891","$37.03M"
"16.","Raging Bull","(1980)","129 min","Biography, Drama, Sport","8.2","355,041","$23.38M"
"17.","Taxi Driver","(1976)","114 min","Crime, Drama","8.2","830,974","$28.26M"
"18.","Seven Samurai","(1954)","207 min","Action, Drama","8.6","346,255","$0.27M"
"19.","The 400 Blows","(1959)","99 min","Crime, Drama","8.1","118,841",""
"20.","12 Angry Men","(1957)","96 min","Crime, Drama","9","788,430","$4.36M"
"21.","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","(1964)","95 min","Comedy, War","8.4","491,519","$0.28M"
"22.","Vertigo","(1958)","128 min","Mystery, Romance, Thriller","8.3","403,060","$3.20M"
"23.","The Good, the Bad and the Ugly","(1966)","148 min","Adventure, Western","8.8","760,586","$6.10M"
"24.","City Lights","(1931)","87 min","Comedy, Drama, Romance","8.5","185,355","$0.02M"
"25.","Gone with the Wind","(1939)","238 min","Drama, Romance, War","8.2","316,450","$198.68M"
"26.","On the Waterfront","(1954)","108 min","Crime, Drama, Thriller","8.1","156,016","$9.60M"
"27.","The Godfather: Part II","(1974)","202 min","Crime, Drama","9","1,266,873","$57.30M"
"28.","The Dark Knight","(2008)","152 min","Action, Crime, Drama","9","2,642,297","$534.86M"
"29.","Blade Runner","(1982)","117 min","Action, Drama, Sci-Fi","8.1","769,365","$32.87M"
"30.","Star Wars","(1977)","121 min","Action, Adventure, Fantasy","8.6","1,361,479","$322.74M"
"31.","All About Eve","(1950)","138 min","Drama","8.2","132,080","$0.01M"
"32.","Raiders of the Lost Ark","(1981)","115 min","Action, Adventure","8.4","964,502","$248.16M"
"33.","Back to the Future","(1985)","116 min","Adventure, Comedy, Sci-Fi","8.5","1,201,245","$210.61M"
"34.","Lawrence of Arabia","(1962)","218 min","Adventure, Biography, Drama","8.3","294,655","$44.82M"
"35.","Jaws","(1975)","124 min","Adventure, Thriller","8.1","606,727","$260.00M"
"36.","12 Years a Slave","(2013)","134 min","Biography, Drama, History","8.1","701,099","$56.67M"
"37.","The Apartment","(1960)","125 min","Comedy, Drama, Romance","8.3","182,403","$18.60M"
"38.","Chinatown","(1974)","130 min","Drama, Mystery, Thriller","8.2","327,651","$8.49M"
"39.","Some Like It Hot","(1959)","121 min","Comedy, Music, Romance","8.2","268,154","$25.00M"
"40.","The Cabinet of Dr. Caligari","(1920)","58 min","Horror, Mystery, Thriller","8","64,769",""
"41.","The Great Dictator","(1940)","125 min","Comedy, Drama, War","8.4","224,605","$0.29M"
"42.","The Lord of the Rings: The Fellowship of the Ring","(2001)","178 min","Action, Adventure, Drama","8.8","1,869,171","$315.54M"
"43.","Alien","(1979)","117 min","Horror, Sci-Fi","8.5","881,122","$78.90M"
"44.","The Searchers","(1956)","119 min","Adventure, Drama, Western","7.9","90,274",""
"45.","Andrei Rublev","(1966)","205 min","Biography, Drama, History","8.1","54,114","$0.10M"
"46.","Spotlight","(I) (2015)","129 min","Biography, Crime, Drama","8.1","470,444","$45.06M"
"47.","Once Upon a Time in the West","(1968)","165 min","Western","8.5","329,886","$5.32M"
"48.","Moonlight","(I) (2016)","111 min","Drama","7.4","309,111","$27.85M"
"49.","Metropolis","(1927)","153 min","Drama, Sci-Fi","8.3","175,168","$1.24M"
"50.","The Lord of the Rings: The Return of the King","(2003)","201 min","Action, Adventure, Drama","9","1,839,981","$377.85M"
"51.","Modern Times","(1936)","87 min","Comedy, Drama, Romance","8.5","243,087","$0.16M"
"52.","Aliens","(1986)","137 min","Action, Adventure, Sci-Fi","8.4","717,340","$85.16M"
"53.","It Happened One Night","(1934)","105 min","Comedy, Romance","8.1","104,792","$4.36M"
"54.","Laura","(1944)","88 min","Drama, Film-Noir, Mystery","7.9","48,018","$4.36M"
"55.","Terminator 2: Judgment Day","(1991)","137 min","Action, Sci-Fi","8.6","1,096,602","$204.84M"
"56.","A Clockwork Orange","(1971)","136 min","Crime, Sci-Fi","8.3","829,571","$6.21M"
"57.","E.T. the Extra-Terrestrial","(1982)","115 min","Adventure, Family, Sci-Fi","7.9","410,768","$435.11M"
"58.","Nosferatu","(1922)","94 min","Fantasy, Horror","7.9","98,586",""
"59.","Snow White and the Seven Dwarfs","(1937)","83 min","Animation, Adventure, Family","7.6","200,855","$184.93M"
